Nome Promocao;Data Inicial;Data Final;SKU;Nome Item;Preco Vendido;Preco Promocao;Ativacao;Marg%
TABLOIDE 01 A 13 - EF;2024-07-01;2024-07-13;602907;ABS SYM C A SUAVE ROXO 8UN;4,09;3,55;2;58,52
TABLOIDE 01 A 13 - EF;2024-07-01;2024-07-13;387682;ACUCAR MASCAVO SOL NATUS 500G;6,99;5,99;2;60,68
TABLOIDE 01 A 13 - EF;2024-07-01;2024-07-13;10023;ADOCANTE LIQ ASSUGRIN 100ML;4,69;3,75;3;96,43
TABLOIDE 01 A 13 - EF;2024-07-01;2024-07-13;690256;ARROZ EXPORT ADB 1KG TP1;7,69;7,33;4;22,71
TABLOIDE 01 A 13 - EF;2024-07-01;2024-07-13;242400;ASA FRANGO RESFRIADA KG;19,99;15,58;3;66,72
TABLOIDE 01 A 13 - EF;2024-07-01;2024-07-13;607599;ASSADEIRA MARINEX 5LT S TAMPA RETAG;48,9;43,05;2;68,91
TABLOIDE 01 A 13 - EF;2024-07-01;2024-07-13;482950;AZEITONA PREDILECTA 120G FATIAD SCH;6,99;5,33;2;65,95
TABLOIDE 01 A 13 - EF;2024-07-01;2024-07-13;696326;BALA FINI GELATINA 70G RAIO;7,99;7,16;2;109,71
TABLOIDE 01 A 13 - EF;2024-07-01;2024-07-13;696333;BALA FINI GELATINA 70G CHAPEU SELET;7,99;7,16;2;90,6
TABLOIDE 01 A 13 - EF;2024-07-01;2024-07-13;696340;BALA FINI GELATINA 70G EDWIGES;7,99;7,16;2;90,6
TABLOIDE 01 A 13 - EF;2024-07-01;2024-07-13;696357;BALA FINI GELATINA 70G OC DO HARRY;7,99;7,16;2;90,6
TABLOIDE 01 A 13 - EF;2024-07-01;2024-07-13;515863;BARRA CEREAL RITTER 20G AVELA AVEIA;1,75;1,51;3;78,57
TABLOIDE 01 A 13 - EF;2024-07-01;2024-07-13;515887;BARRA CEREAL RITTER 20G BRIGAD AVEI;1,75;1,51;3;78,57
TABLOIDE 01 A 13 - EF;2024-07-01;2024-07-13;637978;BARRA CEREAL RITTER 20G MORAN AVEIA;1,75;1,51;3;78,57
TABLOIDE 01 A 13 - EF;2024-07-01;2024-07-13;515870;BARRA CEREAL RITTER 20G BANANA AVEI;1,75;1,51;3;78,57
TABLOIDE 01 A 13 - EF;2024-07-01;2024-07-13;429726;BATATA PALHA ANCHIETA 100G EXT FINA;6,39;5,74;2;30,24
TABLOIDE 01 A 13 - EF;2024-07-01;2024-07-13;473910;BISC JUVIS WAFER 100G CHOCOLATE;2,15;1,91;3;61,25
TABLOIDE 01 A 13 - EF;2024-07-01;2024-07-13;473903;BISC JUVIS WAFER 100G MORANGO;2,15;1,91;3;61,25
TABLOIDE 01 A 13 - EF;2024-07-01;2024-07-13;493093;BISC JUVIS WAFER 100G LIMAO;2,15;1,91;3;69,82
TABLOIDE 01 A 13 - EF;2024-07-01;2024-07-13;493086;BISC JUVIS WAFER 100G BAUNILHA;2,15;1,91;3;59,25
TABLOIDE 01 A 13 - EF;2024-07-01;2024-07-13;696302;BISC NINFA DONUS 75G CHOC AO LEITE;6,49;5,61;2;65,85
TABLOIDE 01 A 13 - EF;2024-07-01;2024-07-13;696296;BISC NINFA DONUS 75G CHOC AMAR CRIS;6,49;5,61;2;65,87
TABLOIDE 01 A 13 - EF;2024-07-01;2024-07-13;696319;BISC NINFA DONUS 75G CHOC BRANCO;6,49;5,61;2;65,85
TABLOIDE 01 A 13 - EF;2024-07-01;2024-07-13;402958;BISC OREO RECH 90G CHOC BAUNILHA;4,59;3,8;2;61,05
TABLOIDE 01 A 13 - EF;2024-07-01;2024-07-13;464208;BISC OREO RECH 90G CHOCOLATE;4,59;3,8;2;59,93
TABLOIDE 01 A 13 - EF;2024-07-01;2024-07-13;231060;BISC SALKIM 90G TRADICIONAL;1,69;1,46;4;73,33
TABLOIDE 01 A 13 - EF;2024-07-01;2024-07-13;231053;BISC SALKIM 90G PIZZA;1,69;1,46;4;73,33
TABLOIDE 01 A 13 - EF;2024-07-01;2024-07-13;231077;BISC SALKIM 90G CHURRASCO;1,69;1,46;4;73,33
TABLOIDE 01 A 13 - EF;2024-07-01;2024-07-13;473521;BISC SALKIM 90G BACON;1,69;1,46;4;73,33
TABLOIDE 01 A 13 - EF;2024-07-01;2024-07-13;645577;BLEND PORTUGUESINHO 500ML EXT VIRG;17,59;15,53;2;61,52
TABLOIDE 01 A 13 - EF;2024-07-01;2024-07-13;476843;BOMBOM ARCOR 15G AMARGO;1,15;0,92;4;215,93
TABLOIDE 01 A 13 - EF;2024-07-01;2024-07-13;391818;BOMBOM ARCOR 15G MORANGO CREME;1,15;0,92;4;97,49
TABLOIDE 01 A 13 - EF;2024-07-01;2024-07-13;391795;BOMBOM ARCOR 15G BRIGADEIRO;1,15;0,92;4;-99,77
TABLOIDE 01 A 13 - EF;2024-07-01;2024-07-13;641241;BOMBOM ARCOR 15G BEIJINHO;1,15;0,92;4;95,57
TABLOIDE 01 A 13 - EF;2024-07-01;2024-07-13;114387;BOMBOM ARCOR 15G DOCE LEITE;1,15;0,92;4;-94,98
TABLOIDE 01 A 13 - EF;2024-07-01;2024-07-13;605434;CAFE LEGENDARIO 500G TRADICIONAL;11,79;10,66;2;17,9
TABLOIDE 01 A 13 - EF;2024-07-01;2024-07-13;520072;CAFE LEGENDARIO 500G EXTRA FORTE;11,79;10,66;2;17,9
TABLOIDE 01 A 13 - EF;2024-07-01;2024-07-13;169851;CAFE TRES CORACOES 500G FORT;23,99;18,09;2;-5,55
TABLOIDE 01 A 13 - EF;2024-07-01;2024-07-13;360012;CALDO SAZON 37 5G FRANGO TOQ SHOYU;2,99;2,63;2;208,24
TABLOIDE 01 A 13 - EF;2024-07-01;2024-07-13;362856;CALDO SAZON 37 5G BACON;2,99;2,63;2;208,24
TABLOIDE 01 A 13 - EF;2024-07-01;2024-07-13;119429;CALDO SAZON 37.5G GALINHA;2,99;2,63;2;110,56
